mood,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0,0.12,0.819,0.554,0,0.246,-5.714,0.191,95.023,0.751
0,0.46,0.758,0.574,0.00272,0.102,-6.889,0.0572,151.985,0.261
0,0.14,0.617,0.663,0,0.094,-5.978,0.301,193.998,0.748
0,0.213,0.658,0.746,4.09e-05,0.389,-4.915,0.24,84.626,0.694
0,0.223,0.792,0.554,0.00235,0.118,-8.273,0.104,100.0,0.328
0,0.221,0.774,0.473,0,0.222,-5.122,0.0569,97.953,0.416
0,0.674,0.746,0.679,0,0.117,-9.42,0.0642,120.995,0.738
0,0.192,0.695,0.762,0.00244,0.0863,-3.497,0.0395,120.042,0.553
0,0.0837,0.639,0.546,0,0.122,-5.382,0.0407,122.179,0.149
0,0.0216,0.469,0.585,4.06e-06,0.724,-9.869,0.0596,80.082,0.333
0,0.199,0.873,0.495,0,0.0805,-5.446,0.0518,106.033,0.546
0,0.34,0.595,0.504,0,0.067,-9.355,0.0612,80.127,0.469
0,0.0136,0.739,0.756,0,0.37,-4.828,0.0394,110.028,0.523
0,0.117,0.866,0.399,0,0.0689,-10.938,0.0745,129.047,0.713
0,0.66,0.769,0.479,0,0.0914,-5.339,0.0385,96.051,0.803
0,0.0405,0.496,0.885,0,0.271,-2.481,0.0638,104.93,0.686
0,0.0998,0.493,0.581,0,0.0938,-8.19,0.29,137.22,0.836
0,0.00511,0.459,0.891,0,0.106,-5.057,0.0623,154.837,0.588
0,0.225,0.83,0.585,0.00209,0.0576,-5.802,0.0366,105.03,0.642
0,0.173,0.559,0.444,0,0.198,-9.174,0.101,87.279,0.334
0,0.256,0.52,0.761,4.96e-06,0.17,-3.093,0.0853,141.971,0.286
0,0.0907,0.561,0.82,0,0.175,-7.673,0.121,157.925,0.564
0,0.746,0.427,0.262,0,0.068,-8.541,0.0276,104.085,0.228
0,0.000203,0.217,0.669,0,0.284,-6.224,0.0375,147.848,0.254
0,0.808,0.535,0.448,1.25e-05,0.303,-7.759,0.0431,78.784,0.557
0,0.0536,0.688,0.732,0,0.145,-6.162,0.0618,97.703,0.665
0,0.00463,0.658,0.804,0,0.178,-5.735,0.0377,120.047,0.508
0,0.107,0.731,0.65,0,0.124,-5.286,0.271,154.968,0.605
0,0.128,0.811,0.647,0.000224,0.093,-6.467,0.043,117.014,0.868
0,0.00122,0.623,0.647,0,0.354,-5.438,0.04,107.987,0.522
0,0.146,0.522,0.765,0,0.0866,-5.395,0.193,180.065,0.455
0,0.256,0.682,0.919,0,0.442,-3.18,0.0875,95.982,0.535
0,0.234,0.447,0.589,0,0.139,-8.012,0.0659,85.682,0.5
0,0.0387,0.545,0.968,0.00325,0.331,-3.553,0.0853,169.965,0.527
0,0.00133,0.597,0.711,0,0.293,-5.624,0.0334,114.997,0.456
0,0.0384,0.72,0.791,0,0.157,-4.689,0.124,102.071,0.756
0,0.0116,0.596,0.869,0.173,0.0678,-11.97,0.037,109.902,0.944
0,0.099,0.615,0.699,0,0.132,-7.762,0.0759,150.065,0.667
0,0.00701,0.578,0.866,0,0.257,-3.804,0.0619,128.038,0.619
0,0.305,0.469,0.538,0.00012,0.37,-13.559,0.0571,196.605,0.886
0,0.0771,0.634,0.69,0,0.132,-7.804,0.052,94.988,0.645
0,0.0372,0.697,0.683,0,0.137,-2.881,0.117,96.133,0.603
0,0.0476,0.642,0.772,0,0.0646,-6.61,0.0848,153.995,0.589
0,0.0401,0.728,0.859,0,0.111,-5.237,0.137,65.043,0.535
0,0.000239,0.417,0.824,0.0545,0.0725,-7.36,0.105,157.92,0.4
0,0.00583,0.284,0.704,0.000115,0.0424,-7.276,0.186,191.702,0.1
0,0.0352,0.404,0.962,0,0.146,-2.901,0.0978,158.121,0.572
0,0.00301,0.471,0.924,0,0.313,-3.906,0.0586,154.961,0.725
0,0.000346,0.482,0.833,0,0.365,-5.611,0.0449,148.039,0.74
0,0.00146,0.514,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,0.334
0,0.0709,0.763,0.803,0.285,0.348,-3.713,0.0351,103.04,0.561
0,0.495,0.775,0.573,0,0.126,-4.933,0.0585,101.925,0.667
0,0.165,0.694,0.831,0.000892,0.25,-7.288,0.0301,125.901,0.98
0,0.271,0.62,0.573,0,0.0607,-11.893,0.0423,81.548,0.897
0,0.00761,0.729,0.771,0,0.087,-2.451,0.0725,125.011,0.873
0,0.0192,0.599,0.887,1.21e-06,0.3,-3.967,0.0984,170.918,0.881
0,0.0139,0.617,0.615,0,0.0897,-6.518,0.0567,125.898,0.564
0,0.00969,0.589,0.621,0.00104,0.181,-6.902,0.0468,140.03,0.401
0,0.0509,0.781,0.728,1.94e-06,0.257,-4.981,0.0621,102.99,0.395
0,0.0904,0.912,0.716,0,0.0491,-4.141,0.0697,94.981,0.377
0,0.0828,0.844,0.644,0,0.113,-6.273,0.0479,122.061,0.591
0,0.17,0.461,0.593,0,0.307,-4.954,0.0356,134.17,0.175
0,0.00261,0.762,0.7,1.56e-05,0.153,-6.021,0.0694,116.073,0.608
0,0.38,0.866,0.813,0,0.0779,-4.063,0.0554,121.998,0.969
0,0.0735,0.624,0.876,0,0.327,-3.374,0.1,99.943,0.781
0,0.205,0.626,0.88,0,0.128,-2.384,0.0504,95.079,0.534
0,0.037,0.791,0.862,2.19e-05,0.0814,-3.24,0.11,123.994,0.592
0,0.0403,0.836,0.544,0,0.0824,-5.975,0.0943,97.028,0.51
0,0.0102,0.668,0.725,0.000479,0.0561,-6.127,0.266,191.944,0.729
0,0.0654,0.421,0.873,0,0.123,-4.343,0.0564,84.786,0.629
0,0.00972,0.685,0.776,1.88e-06,0.0944,-3.806,0.043,136.013,0.642
0,0.00218,0.49,0.885,0,0.0741,-4.121,0.0396,166.996,0.64
0,0.0409,0.621,0.827,0,0.0815,-7.309,0.0454,99.979,0.65
0,0.00268,0.555,0.934,0,0.122,-5.04,0.113,144.874,0.422
0,0.461,0.641,0.652,0,0.267,-6.811,0.14,77.048,0.557
0,0.000185,0.279,0.742,0,0.593,-6.46,0.0898,189.868,0.328
0,0.576,0.541,0.401,0,0.164,-10.499,0.0365,152.943,0.24
0,0.00182,0.664,0.908,0,0.109,-4.806,0.0317,118.031,0.889
